nace_code,nace_description,company_count,total_employees,largest_company,largest_company_employees
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",5,280,CRUX STIFTELSEN ROSTAD,88
16.21,Manufacture of veneer sheets and wood-based panels,5,835,FORESTIA AS,215
2.15,Manufacture of fertilizers and nitrogen compounds,5,1402,YARA NORGE AS,794
22.22,Manufacture of plastic packing goods,5,728,BEWI PACKAGING NORWAY AS,207
23.51,Manufacture of cement,5,468,HEIDELBERG MATERIALS SEMENT NORGE AS,394
23.61,Manufacture of concrete products for construction purposes,5,1386,HEIDELBERG MATERIALS PREFAB NORGE AS,364
23.63,Manufacture of ready-mixed concrete,5,635,ØLEN BETONG AS,241
23.99,Manufacture of other non-metallic mineral products n.e.c.,5,6983,HYDRO ALUMINIUM AS,3944
24.1,Manufacture of basic iron and steel,5,3033,ELKEM ASA,1556
24.42,Aluminium production,5,6833,HYDRO ALUMINIUM AS,3944
24.45,Other non-ferrous metal production,5,828,GLENCORE NIKKELVERK AS,580
24.51,Casting of iron,5,1110,BERGEN ENGINES AS,685
24.52,Casting of steel,5,8,FRANK SMED AS,8
24.53,Casting of light metals,5,51,ØSTLANDSKE LETTMETALL AS,38
24.54,Casting of other non-ferrous metals,5,105,OSHAUG METALL AS,46
35.11,Production of electricity,5,30,SVALBARD ENERGI AS,30
35.21,Manufacture of gas,5,115,BIR RESSURS AS,52
35.3,Steam and air conditioning supply,5,579,HAFSLUND CELSIO AS,256
38.32,Recovery of sorted materials,5,1154,NORSK GJENVINNING AS,737
42.11,Construction of roads and motorways,5,6891,SKANSKA NORGE AS,2822
42.99,Construction of other civil engineering projects n.e.c.,5,825,TURBOCONSTROI NORGE AS,222
